id,tenses.0,tenses.1,tenses.2,tenses.3,sentences.0,sentences.1
427,cobbler,,,,That little village was able to support two cobblers and the town sure had nice shoes.,
428,cocoa,,,,On cold winter nights I like to drink hot cocoa before going to bed.,
429,coffee,,,,I like to drink a rich Colombian coffee in the mornings.,
430,collar,,,,You have to use a special fluid to clean your shirt collars.,
431,collect,,,,Don't collect the garbage in the mornings when people are trying to sleep.,
432,college,,,,"I have three degrees from different colleges, but they didn't make me smarter.",
433,colonist,,,,"In the early days, the colonists had no constitution to follow.",
434,colony,colonies,,,The history books show that the new colonies contained people originally from many different countries.,
435,color,,,,My favorite color is green; that's why I like to visit forests.,
436,column,,,,That journalist writes a daily column but she never mentions local politics.,
437,combination,,,,The combination of hydrogen and oxygen makes water.,
438,come,came,coming,,When will you be able to come visit me?,
439,comfort,,,,"I like to watch movies in the comfort of my own home, not in public.",
440,comfortable,,,,Their home does not look comfortable at all; it's too formal.,
441,coming,come,,,"Just at the point when I was coming around the corner, I heard a loud sound.",
442,commence,,,,Let's commence this meeting now or we'll never get out of here.,
443,commendable,,,,The things you are doing for the needy are very commendable.,
444,commerce,,,,Commerce is what makes the world go around.,
445,commission,,,,The commission was set up to study the effects of fewer trade restrictions.,
446,committed,,,,I am so committed to that project that I stay up very late every night working on it.,
447,committee,,,,Mr. Jones is on the building committee so knows more about the various rooms.,
448,common,,,,We have very little in common but we can at least agree to disagree.,
449,communication,,,,Her communication skills were lacking but she did successfully explain why we are here.,
450,community,,,,The community creates land values so should reap the benefits.,
451,companion,,,,The elderly gentleman had a companion with him to help guide him through the hallways.,
452,company,companies,,,Most companies want to be legal but those regulations are complicated to understand.,
453,compare,,,,You can't compare apples with oranges; let's start with the similarities first.,
454,comparison,,,,"By comparison, are you saying that land values are a result of denser population?",
455,compass,,,,I will simply use my trusty compass to determine which way is north.,
456,compel,compelling,compelled,,I feel compelled to explain why I had to quit my job.,
457,compensation,,,,"If I don't receive satisfactory compensation for the job I did, I may have to quit.",
458,competition,compete,,,The competition between the runners lasted all afternoon but only two races were won.,
459,compilation,compile,,,Dan created a compilation of all known pertinent facts and now will analyze the data.,
460,complain,,,,The nurse complained to the medical board that doctors treated her without respect.,
461,complaint,,,,Don't complain to the waitress; submit an official complaint to the committee that oversees restaurants.,
462,complete,completed,,,I have completed my homework. Now may I go out and play?,
463,completely,,,,The desk was completely covered by papers but none were organized.,
464,complexion,,,,Her complexion is very pale so she needs a lighter shade of makeup.,
465,composition,compose,,,The musician's composition was joyous in parts and dramatic in other parts.,
466,comprehend,,,,I cannot comprehend why you would demand that I attend the meeting since I don't even know those people.,
467,computer,,,,I need to upgrade my computer with the latest hardware and software.,
468,comrade,,,,We are all comrades here. Why fight?,
469,conceal,concealed,,,The detective carried a concealed weapon in his jacket.,
470,concede,conceded,,,"I concede that you are correct on that point, but do you acknowledge my previous point?",
471,concern,concerned,,,"We are all concerned with the education of children, but we disagree on how best to improve it.",
472,concert,,,,We heard a new symphony at the concert last night.,
473,conclude,concluded,,,Professor Pines has concluded that no students understand the new concept.,
474,condemn,condemned,,,The building was condemned so it will be demolished next week.,
475,condition,,,,The conditions of the ghetto were horrendous. Is there not something we can do to help the residents?,
476,conductor,,,,"The train conductor took up tickets from all cars, but missed the lounge area.",
477,conference,,,,We all attended a conference on bettering the subway system.,
478,confess,,,,I must confess that I did not hear the question; would you please repeat it?,
479,confidence,,,,"He acts like he has a lot of confidence, but deep down, he's scared to death.",
480,confusion,,,,"In all the confusion after the accident, I didn't remember to make that call.",
481,Congress,,,,Congress is made up of the House of Representatives and the Senate.,
482,connect,connected,,,"If we connect this wire over here, to that wire over there, we'll have electricity running throughout the whole building.",
483,connection,,,,What is her connection with you? Did you ever work for her?,
484,conquer,,,,"After the land of what is Florida today was conquered by the Spanish, others wanted a piece also.",
485,conscience,,,,My conscience tells me not to have that big dessert but I think I'll order it anyway.,
486,conscious,,,,After the car accident was she conscious or in a coma?,
487,consequence,,,,"Many people think that certain things are consequences of other things, when in fact they are simply correlative.",
488,consequently,,,,"I don't like him. Consequently, I'm not going to allow him to come to my party.",
489,consider,,,,"If he considers the ambiguity of some term usage, he'll be more apt to be clear in concept explanation.",
490,considerable,,,,"After a considerable number of people left, we figured out that most didn't like the subject matter.",
491,consist,consisted,,,This pudding consists of only four ingredients.,
492,consolation,,,,"She didn't win the big prize, but she got a consolation prize of a roll warmer.",
493,constantly,,,,The kids are constantly bickering; I don't know what I'm going to do about it.,
494,Constitution,,,,"If we simply followed the Constitution of the United States, we wouldn't need all these extra laws.",
495,construct,,,,"If we construct the house using bricks, it will last longer.",
496,consult,,,,I must consult my wife before giving you a definitive answer.,
497,contagious,,,,The virus is contagious so she better not go to school and infect the other kids.,
498,contain,container,contained,,What does your bookbag contain besides books?,
499,contemptible,,,,"Jay's actions were contemptible, but Steve's were even worse.",
500,continent,,,,The goal was to create a human chain from one continent to another.,
501,continual,continually,,,I am continually being asked the same questions over and over. When will they learn?,
502,continue,,,,I do not want to continue because we have already covered that subject.,
503,continuous,continuously,,,The drawn line was continuous from this page to that page.,
504,contract,,,,I have a contract with the wallpaper hanger and it stipulates that the job will be done by tomorrow.,
505,contractor,,,,Don't hire that contractor to build your house; his reputation is not good.,
506,contrary,,,,"Contrary to what you may believe, I do have a social life.",
507,controlled,control,,,Who controlled the buttons in the elevator?,
508,controller,,,,The city controller makes a very good salary.,
509,convenience,,,,"For your convenience, we will take the elevator instead of the stairs.",
510,convention,,,,The standard convention to start meetings at 4:00 was changed to 3:00.,
511,conversation,,,,"I enjoy our conversations, but you sure talk a lot.",
512,convertible,,,,My son owned a red convertible and rode around with the top down all the time.,
513,conveyance,convey,,,Conveyance of ideas using a precise method is expected.,
